[dipic]	time, hh:mm:ss	time, minutes	dA (dy)	dt (dx)	dA/dt	ln(dA/dt)
"0.10"	0:01:05	1.083333333	0.3545	120	0.002954166667	4.530934
"0.10"	0:09:06	9.1	0.0629	115	0.0005469565217	2.844331433
"0.10"	0:17:02	17.03333333	0.0278	120	0.0002316666667	1.985261675
"0.10"	0:25:13	25.21666667	0.0279	120	0.0002325	1.988852343
"0.10"	0:33:02	33.03333333	0.0128	120	0.0001066666667	1.209670825
"0.10"	0:49:18	49.3	0.0129	110	0.0001172727273	1.304464343
"0.10"	0:57:05	57.08333333	0.0166	120	0.0001383333333	1.46962835
"0.10"	1:05:18	65.3	0.0119	115	0.0001034782609	1.179323669
"0.20"	0:01:02	1.033333333	0.3327	120	0.0027725	4.467466838
"0.20"	0:06:01	6.016666667	0.0891	115	0.0007747826087	3.192544603
"0.20"	0:11:04	11.06666667	0.0336	120	0.00028	2.174751721
"0.20"	0:16:16	16.26666667	0.0159	120	0.0001325	1.426544764
"0.20"	0:21:05	21.08333333	0.0164	110	0.0001490909091	1.544518366
"0.20"	0:26:07	26.11666667	0.0123	110	0.0001118181818	1.256836294
"0.20"	0:31:03	31.05	0.0115	120	0.00009583333333	1.10257269
"0.20"	0:36:10	36.16666667	0.0081	120	0.0000675	0.7520897162
"0.20"	0:41:12	41.2	0.013	120	0.0001083333333	1.225175012
"0.20"	0:47:30	47.5	0.0099	120	0.0000825	0.9527604117
"0.050"	0:01:37	1.616666667	0.3415	120	0.002845833333	4.493573334
"0.050"	0:16:04	16.06666667	0.088	120	0.0007333333333	3.137562469
"0.050"	0:31:16	31.26666667	0.044	120	0.0003666666667	2.444415288
"0.050"	0:46:11	46.18333333	0.0237	120	0.0001975	1.825700703
"0.050"	1:01:07	61.11666667	0.0209	120	0.0001741666667	1.699974813
"0.032"	0:01:40	1.666666667	0.2368	120	0.001973333333	4.127441558
"0.032"	0:11:00	11			0.00174	4.001602511
"0.032"	0:16:05	16.08333333	0.083	120	0.0006916666667	3.079066262
"0.032"	0:31:00	31			0.00055	2.849880397
"0.032"	0:51:00	51	0.0677	120	0.00038	2.480133371
"0.032"	1:01:18	61.3	0.0469	120	0.0003908333333	2.50824333
"0.016"	0:01:00	1	0.3091	120	0.0035	4.700480366
"0.016"	0:10:00	10	0.2068	120	0.0024	4.323186135
"0.016"	0:24:00	24	0.1325	120	0.0016	3.917721027
"0.016"	0:34:30	34.5	0.2157	120	0.0012	3.630038954
"0.016"	0:44:00	44	0.3013	120	0.00088	3.319884026
"0.016"	0:54:00	54			0.00075	3.160035325
"0.016"	1:04:00	64			0.00064	3.001430295